companyName,employees,industry,linkedin_id,page,revenue,source_url,url
CORUS Consulting,205 empleados,Servicios y consultoría de TI,11166893,[10],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/11166893/
Renfe,"6,5 mil+ empleados",Transporte por ferrocarril,53149,[10],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/53149/
Lognext,220 empleados,Servicios y consultoría de TI,11034753,[10],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/11034753/
Oxigent Technologies,227 empleados,Servicios y consultoría de TI,19146174,[10],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/19146174/
Saica Group,3 mil+ empleados,Productos de papel y forestales,475936,[10],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/475936/
TIBA,"1,5 mil+ empleado","Transporte, logística, cadena de suministro y almacenamiento",694957,[10],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/694957/
ELPOZO ALIMENTACIÓN,"1,5 mil+ empleado",Servicios de alimentos y bebidas,942923,[10],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/942923/
OBRAMAT,3 mil+ empleados,Comercio al por menor,89649697,[10],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=10&savedSearchId=1980479034&sessionId=%2FWazuE31S8ycJYskpPQ2yw%3D%3D,https://www.linkedin.com/company/89649697/
SOAINT,802 empleados,Servicios y consultoría de TI,1057565,[11],100 mills. US$ - 500 mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/1057565/
Profile Software Services,264 empleados,Servicios y consultoría de TI,893277,[11],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/893277/
STRATESYS,"1,5 mil+ empleado",Servicios y consultoría de TI,31675,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/31675/
Centro Tecnológico del Notariado,329 empleados,Desarrollo de software,102521527,[11],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/102521527/
Acción contra el Hambre,1 mil+ empleado,Organizaciones sin ánimo de lucro,1715337,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/1715337/
EULEN Flexiplán Selección,365 empleados,Servicios de recursos humanos,27170649,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/27170649/
Uría Menéndez,1 mil+ empleado,Servicios jurídicos,166713,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/166713/
Atlético de Madrid,1 mil+ empleado,Espectáculos deportivos,1212094,[11],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/1212094/
Hospital Sant Joan de Déu Barcelona,"3,5 mil+ empleados",Hospitales y atención sanitaria,786808,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/786808/
Logicalis Spain,618 empleados,Servicios y consultoría de TI,3177234,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/3177234/
Eurostars Hotel Company,"1,5 mil+ empleado",Hostelería,1123253,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/1123253/
Solarig,1 mil+ empleado,Generación de energía renovable,343388,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/343388/
IZERTIS,1 mil+ empleado,Servicios y consultoría de TI,2277496,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/2277496/
Santander España,2 mil+ empleados,Banca,3740577,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/3740577/
Fundación ”la Caixa”,1 mil+ empleado,Organizaciones sin ánimo de lucro,546456,[11],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/546456/
Enagás,1 mil+ empleado,Petróleo y gas,81410,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/81410/
Bahia Principe Hotels & Resorts,3 mil+ empleados,Hostelería,570857,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/570857/
VIU - Universidad Internacional de Valencia,"1,5 mil+ empleado",Educación,1407651,[11],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/1407651/
Aldesa,"1,5 mil+ empleado",Construcción,498971,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/498971/
SII Group Spain,571 empleados,Servicios y consultoría de TI,91044884,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/91044884/
COFARES,"1,5 mil+ empleado",Fabricación de productos farmacéuticos,113156,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/113156/
Mediaset España,1 mil+ empleado,Producción y distribución audiovisual,3121613,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/3121613/
Securitas Seguridad España,"4,5 mil+ empleados",Seguridad e investigación,2757238,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/2757238/
Engel & Völkers España,950 empleados,Bienes inmuebles,3263290,[11],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/3263290/
SEUR,"5,5 mil+ empleados",Transporte terrestre en camión,95143,[11],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=11&savedSearchId=1980479034&sessionId=yBY1YNNMSJ6utr7%2F53doyA%3D%3D,https://www.linkedin.com/company/95143/
FCC Medio Ambiente,"1,5 mil+ empleado",Servicios medioambientales,34917501,[12],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/34917501/
ITP Aero,3 mil+ empleados,Fabricación de componentes aeroespaciales y de aviación,222282,[12],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/222282/
Grupo SM,"1,5 mil+ empleado","Edición de libros, periódicos y revistas",115992,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/115992/
Multiverse Computing,415 empleados,Desarrollo de software,18863453,[12],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/18863453/
PRISA,1 mil+ empleado,Producción multimedia,494524,[12],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/494524/
Santillana,"2,5 mil+ empleados",Educación,44357,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/44357/
Grupo Aprender,205 empleados,Educación primaria y secundaria,636086,[12],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/636086/
PSICOTEC,217 empleados,Recursos humanos,130616,[12],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/130616/
ORBEA,577 empleados,Fabricación de artículos de deporte,359227,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/359227/
DOMINION GLOBAL,"2,5 mil+ empleados",Consultoría y servicios a empresas,296143,[12],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/296143/
ROVI Pharmaceutical Company,1 mil+ empleado,Fabricación de productos farmacéuticos,18265499,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/18265499/
Ricoh España,"1,5 mil+ empleado",Servicios y consultoría de TI,690447,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/690447/
Universidad Camilo José Cela,1 mil+ empleado,Enseñanza superior,15094078,[12],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/15094078/
Novartis España,389 empleados,Fabricación de productos farmacéuticos,42144667,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/42144667/
Iberia Express,637 empleados,Aeronáutica y aviación,2873117,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/2873117/
OBS Business School,637 empleados,Enseñanza superior,421315,[12],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/421315/
Openbank,1 mil+ empleado,Banca,709971,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/709971/
Agencia Española de Medicamentos y Productos Sanitarios,544 empleados,Administración pública,1722429,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/1722429/
Alsa,3 mil+ empleados,Transporte terrestre de pasajeros,53987,[12],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/53987/
Marlex,759 empleados,Servicios de recursos humanos,5032360,[12],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/5032360/
Roche Farma España,461 empleados,Fabricación de productos farmacéuticos,18638007,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/18638007/
Médicos Sin Fronteras España,1 mil+ empleado,Organizaciones comunitarias y sociales,514204,[12],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/514204/
Universidad Alfonso X el Sabio,"2,5 mil+ empleados",Enseñanza superior,108561,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/108561/
HIPRA,2 mil+ empleados,Fabricación de productos farmacéuticos,134067,[12],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/134067/
Urbaser,4 mil+ empleados,Servicios medioambientales,351527,[12],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=12&savedSearchId=1980479034&sessionId=XlQIKIarSnmKboOqe%2F11dQ%3D%3D,https://www.linkedin.com/company/351527/
Mercedes-Benz España,"1,5 mil+ empleado",Fabricación de vehículos de motor,11285029,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/11285029/
mAbxience,1 mil+ empleado,Investigación biotecnológica,2733245,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/2733245/
PharmaMar,474 empleados,Investigación biotecnológica,41086,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/41086/
Quental,293 empleados,Servicios y consultoría de TI,820591,[13],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/820591/
El Confidencial,405 empleados,Medios de audio y vídeo en línea,973089,[13],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/973089/
Mercadona Tech,305 empleados,Comercio al por menor,28956298,[13],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/28956298/
Doctoralia España,392 empleados,Desarrollo de software,512931,[13],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/512931/
"Omega CRM, A Merkle Company",719 empleados,Servicios y consultoría de TI,146325,[13],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/146325/
Clikalia,494 empleados,Bienes inmuebles,11253195,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/11253195/
Lookiero,321 empleados,Comercio al por menor de prendas de vestir y moda,10581394,[13],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/10581394/
Freepik,"1,5 mil+ empleado",Servicios de diseño,9187206,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/9187206/
Gómez-Acebo & Pombo,601 empleados,Despachos de abogados,74826,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/74826/
COMSA Corporación,1 mil+ empleado,Construcción,802981,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/802981/
Red Eléctrica,1 mil+ empleado,Servicios públicos,47499,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/47499/
Solaria Energía y Medio Ambiente,311 empleados,Generación de energía renovable,476106,[13],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/476106/
OVB Allfinanz España S.A.,"2,5 mil+ empleados",Servicios financieros,862408,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/862408/
EADA Business School,674 empleados,Enseñanza superior,163539,[13],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/163539/
Fundación Laboral de la Construcción,"1,5 mil+ empleado",Construcción,2208291,[13],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/2208291/
StratioBD,231 empleados,Desarrollo de software,5122962,[13],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/5122962/
Santander Corporate & Investment Banking,"3,5 mil+ empleados",Servicios financieros,18940935,[13],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/18940935/
Cantabria Labs,706 empleados,Fabricación de productos farmacéuticos,1812986,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/1812986/
Grupo Hotusa,770 empleados,Organización de viajes,384065,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/384065/
Grupo Azvi,853 empleados,Ingeniería civil,687494,[13],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/687494/
Exoticca,480 empleados,Organización de viajes,3317134,[13],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/3317134/
Plain Concepts,555 empleados,Servicios y consultoría de TI,429225,[13],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=13&savedSearchId=1980479034&sessionId=XJarzdDfTJaiu714BT1W0A%3D%3D,https://www.linkedin.com/company/429225/
EU Business School,834 empleados,Enseñanza superior,15142329,[14],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/15142329/
ISDI,880 empleados,Enseñanza superior,15141600,[14],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/15141600/
ENGIE España,633 empleados,Fabricación de semiconductores de energías renovables,76419199,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/76419199/
Aernnova Aerospace,"1,5 mil+ empleado",Fabricación de componentes aeroespaciales y de aviación,410739,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/410739/
ATRESMEDIA,1 mil+ empleado,Producción y distribución audiovisual,10187994,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/10187994/
Cellnex Telecom,"1,5 mil+ empleado",Telecomunicaciones,9741,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/9741/
Noatum Logistics,2 mil+ empleados,"Transporte, logística, cadena de suministro y almacenamiento",18330865,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/18330865/
Consum Cooperativa Valenciana,5 mil+ empleados,Comercio al por menor,220726,[14],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/220726/
AERTEC,732 empleados,Fabricación de componentes aeroespaciales y de aviación,110494,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/110494/
Universidad de Cádiz,"2,5 mil+ empleados",Enseñanza superior,2493510,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/2493510/
Comisión Española de Ayuda al Refugiado (CEAR),1 mil+ empleado,Organizaciones sin ánimo de lucro,5367030,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/5367030/
Cox,1 mil+ empleado,Servicios para energías renovables,105107711,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/105107711/
"Nfq Advisory, Solutions, Outsourcing",1 mil+ empleado,Consultoría y servicios a empresas,763202,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/763202/
Volkswagen Group Services Barcelona,698 empleados,Servicios y consultoría de TI,16229139,[14],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/16229139/
El Mundo,2 mil+ empleados,Edición de periódicos,28954,[14],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/28954/
EUDE Business School,340 empleados,Enseñanza superior,15098899,[14],10 mills. US$ - 20 mills. US$,https://www.linkedin.com/sales/search/company?page=14&savedSearchId=1980479034&sessionId=aneSnXTZSSGQC%2F1h6JFLxQ%3D%3D,https://www.linkedin.com/company/15098899/
